part_brand,part_model,part_type,part_name,part_price,part_image
tata, ace, brake, Bosch Front Brake Pad FRONT BRAKE PAD SET DISC BRAKE F002H23640, 863, img/parts/tata/ace/brake/tata-ace-front-brake.jpg
tata, ace, brake, Tvs Girling Front Brake Disc FRONT BRAKE DISC 29390069, 879, img/parts/tata/ace/brake/tata-ace-front-brake-disc.jpg
tata, ace, engine, Tata Truck Engine For Tata Ace Tata 4018 4923 3718 2516, 50000, img/parts/tata/ace/engine/tata-engine.webp
tata, ace, engine, Tata Ace Engine Kit, 4500, img/parts/tata/ace/engine/tata-ace-engine-kit.webp
tata, ace, wheel/tyre, APOLLO AMAZER 4G LIFE 145/80 R 12 TUBELESS CAR TYRE, 3088, img/parts/tata/ace/wheel-tyre/tata-ace-tyre.jpg
tata, ace, wheel/tyre, APOLLO ALTRUST 155 R 13 TUBELESS CAR TYRE, 3972, img/parts/tata/ace/wheel-tyre/tata-ace-tyre-tubeless.jpg
tata, ace, headlights, Autogold Headlight HEAD LAMP UNIT TATA ACE HT DICOR RH ILH0864R, 1176, img/parts/tata/ace/headlights/tata-ace-headlight.jpg
tata, ace, headlights, Uno Minda Headlight HEAD LIGHT ASSY. WITH HOLDER- LH HL5600M, 416, img/parts/tata/ace/headlights/tata-ace-headlight2.jpg
mahindra, alfa, brake, Mahindra Alfa Brake Shoe, 87, img/parts/mahindra/alfa/brake/mahindra-alfa-brake.webp
mahindra, alfa, brake, Mahindra Alfa Brake Shoe, 87, img/parts/mahindra/alfa/brake/mahindra-alfa-brake.webp
mahindra, alfa, engine, Mahindra Alfa Auto Spares Parts, 600, img/parts/mahindra/alfa/engine/mahindra-alfa-engine.webp
mahindra, alfa, wheel-tyre, WHEEL RIM REAR, 836, img/parts/mahindra/alfa/wheel-tyre/mahindra-alfa-tyre-rim.webp
mahindra, alfa, headlights, Blaupunkt LED 9X PRO - H11 12 Volt Car Headlight Lamp, 4949, img/parts/mahindra/alfa/headlights/mahindra-alfa-headlight-led.jpeg
